1:EINPP_378        	     30  	      30.0   	     12561  	 0.038792	  0.036878	    159.2	     104.8	     315.2	      86.6	     713.8	      4955
2:EINPW_466        	     39  	      39.0   	     10332  	 0.034429	  0.027738	     47.7	      41.4	      55.6	      27.0	     117.9	       496
3:HZ_067           	     33  	      33.0   	      9251  	 0.039936	  0.033232	     47.6	      40.1	      57.6	      29.9	      93.7	      1037
4:MBS_144          	     79  	      78.9   	     11659  	 0.014157	  0.013178	    338.4	     244.9	     533.4	     190.9	    1162.3	      2975
5:RL_035           	     19  	      19.0   	      7833  	 0.071139	  0.061836	     31.3	      24.8	      41.5	      16.5	     105.8	       813
6:WAB_230          	     10  	      10.0   	      5354  	 0.150745	  0.136900	     20.4	      13.7	      35.4	       8.9	     223.3	       985
7:WBNPC1_797       	     29  	      28.7   	     11879  	 0.041383	  0.038801	    117.6	      82.6	     197.2	      51.7	  Infinite	      1453
8:WBNPC2_764       	     40  	      40.0   	     15182  	 0.027325	  0.027010	   1054.7	     352.3	  Infinite	     254.4	  Infinite	      6250
9:WBNPGR_565       	     10  	      10.0   	     11343  	 0.134596	  0.137116	   -123.9	     290.7	  Infinite	     266.2	  Infinite	     10765
10:WBNPHC_575      	     23  	      23.0   	     13037  	 0.050462	  0.049739	    424.1	     154.6	  Infinite	     105.1	  Infinite	      4461
11:WBNPLB_647      	     11  	      10.8   	      8263  	 0.128464	  0.123295	     57.8	      31.8	     228.2	      10.8	  Infinite	       435
12:WBNPNY_353      	     18  	      17.8   	     10728  	 0.071363	  0.066608	     63.0	      44.2	     105.1	      29.8	    1290.7	      1738
13:WBNPPAD_297     	     25  	      25.0   	     14006  	 0.045223	  0.045184	   7813.8	     273.9	  Infinite	     172.3	  Infinite	      5552
14:WENT_359        	      5  	       5.0   	      5277  	 0.352942	  0.360800	    -40.8	      49.5	  Infinite	      14.9	  Infinite	      1549
