Conversion of an object of class 'genind' into a GENEPOP file with the package 'graph4lg'                                                
BMS1117, TGLA53, BMC4214, BM1225, BM47, BMS1315, IL4, BM2113, BMS1716, BM1706, BMS1675, BMS1857, BMS1001, BM720, ILSTS102, BMS1074, BMS1172, BMS2258, BM757, SPS115, BMS527, BM2830, INRA194, BMS941, INRA037, BM4107, TGLA122, HUJ246, BMS528, BM4440, TGLA44, BMS510, BMS1355, BM1824, BMS812, BMS2639, BMS410, AGLA232, BM17132, BM711, INRA133, RM372, BM4311, BMS1747, BL1036, BM1862, BMS1862, URB011 
Pop                                                
EINPP_1408, 089091 136138 181187 241241 103105 135135 093099 129143 191195 238238 087091 154160 113115 231233 143143 156160 090090 140150 194200 250250 163167 150158 144144 083085 124124 165183 150150 260262 140146 125127 155155 092095 146150 180180 108108 186186 085089 161161 087087 161167 228228 130134 092098 097099 181191 211211 162164 149149
EINPP_1409, 089093 136138 185187 241249 103105 135135 089093 129149 189195 232238 089091 160160 113115 231231 143143 156160 090100 127140 194200 254254 163175 152162 144144 083085 122124 179181 142148 260262 140146 125127 155155 092092 146146 180198 106108 168170 089089 161165 085087 161161 228240 130134 092092 101101 181191 211211 142162 149149
EINPP_1410, 091091 136138 179185 245271 103103 135147 089093 129143 191195 232238 089091 160160 113115 229229 143147 154154 088090 127127 194202 244246 173175 150158 154158 083083 124124 181183 142142 260262 146146 127127 155157 092095 150150 180190 108108 168168 083083 161173 087091 161167 228240 130130 092092 095099 177191 205211 158170 149149
EINPP_1411, 091091 136136 187187 241271 103105 135137 097101 129143 191195 238250 087091 161170 115115 229233 143143 154154 090090 127127 194194 252254 167173 150158 144154 083083 124124 181183 148150 256260 140150 127131 153159 092095 150150 180184 108108 170172 083083 161173 085089 161167 240240 130130 092096 095101 191191 211211 158168 145149
EINPP_1412, 089089 140140 187187 241249 103103 135135 093097 129143 189195 238238 087087 161170 108115 229231 143143 154158 088090 127127 200200 246250 165165 152158 156156 081083 122122 179181 138142 262262 140150 127127 153153 091095 154154 184198 110110 168174 083089 165165 087087 161161 228236 130134 092098 095095 191191 205205 168170 149151
EINPP_1413, 091091 136136 175187 241241 103104 135135 089093 129129 189189 238238 087087 158160 115115 229229 143143 154158 090100 127140 200200 246250 163173 142158 156156 081081 122122 165181 142148 256260 140146 129131 155155 091092 146154 198198 106110 172186 083089 161161 091091 167167 240240 130130 092092 099101 191191 205207 156164 149149
EINPP_1414, 091091 136136 179185 241241 103105 135135 093097 149149 189195 238250 085091 160160 108108 225231 143145 158158 088090 127127 194200 250254 159177 158162 144144 085085 122124 179181 148148 260262 140146 123131 155155 092094 146150 192198 110110 170170 083083 161161 087091 161161 228236 130134 098104 095099 177191 201211 158168 149149
EINPP_1415, 089091 136138 187187 271271 103104 135137 093097 129149 189191 238238 085091 170170 115115 229231 143143 158158 090090 148150 194200 250254 167173 150158 158158 081083 122124 179181 142150 256260 146150 127131 155157 095095 146150 192198 108112 168168 083083 161173 089091 161167 228240 134134 096098 095101 191191 205211 164168 149151
EINPP_1416, 091091 136136 179185 249271 103103 135135 093101 129149 189195 238250 087087 158158 108115 231231 143143 154158 088100 150150 200200 244254 173175 142142 144158 083085 122124 183183 142148 256262 140148 127129 153155 092095 146150 180192 106108 168170 083089 161173 087089 161167 228240 118130 092098 095101 191191 201211 158168 149149
EINPP_1417, 091091 136136 185187 241271 103103 135137 089097 143149 189195 238238 087087 160160 115115 225229 143143 154160 088088 140140 194200 250254 173175 152162 154156 081083 122124 179183 142148 256260 146146 127131 153155 092092 146146 192198 108108 168172 089089 161165 091091 165167 228238 130134 096098 095099 181191 211211 158168 149149
EINPP_1418, 089091 134140 175175 241269 105105 135135 101101 129149 191195 250250 087087 160161 113115 229233 143145 154154 088100 127148 194200 246250 165167 158162 144144 081083 122124 165165 142150 260262 150150 127129 155155 092095 148150 180192 108110 172172 083083 161165 087087 161165 240240 130130 092098 095103 191191 205211 142158 149149
EINPP_1419, 091091 134138 187187 241241 103103 135147 091093 129149 195195 238238 087091 160161 108115 229231 143143 156158 088100 127127 194194 254254 163175 158162 154156 083083 122124 179181 148148 256260 140140 129129 155157 092094 146150 198198 108110 170186 083089 161173 087091 161167 236238 130130 092098 099101 191191 207207 142168 149149
EINPP_1420, 091093 136136 179187 241271 103103 135147 091093 129129 189195 250252 087091 143170 108115 229231 143143 154160 090090 127150 194194 244254 175175 150152 154156 083083 122124 181185 142142 262262 140140 127131 155159 095095 148150 180184 108108 170170 089089 165173 087091 161167 236240 130134 098104 095095 191191 205205 168170 145145
EINPP_1421, 089089 138142 181187 241241 103103 135147 089093 127143 191195 238252 087091 161161 115115 233233 143147 154158 088102 140150 194194 250254 175175 150164 154160 083083 122124 183183 138142 256262 140150 127129 153159 091095 146148 180184 108108 168170 089089 161173 085087 161161 240240 130130 096096 099103 179191 211211 142142 145151
EINPP_1422, 089091 138142 175185 241245 105105 141147 101105 143149 189191 238238 087091 160160 113115 231231 143145 154156 088090 150150 194194 244254 173173 158158 144156 081083 120124 179181 142148 262262 146150 125129 155155 091092 146146 198198 108108 170174 089091 161165 089091 161167 228228 130134 092092 095101 191191 201202 158168 149149
EINPP_1423, 091091 136138 175187 241271 103103 135135 097105 143143 189191 238238 087091 161170 113115 229231 143143 156156 090090 127150 194200 246250 165165 148162 156160 081083 124124 183185 148150 262262 140140 129131 153155 092095 150150 190198 108110 168172 083091 161173 087089 167167 228240 130134 092092 095099 181181 205215 158168 149149
EINPP_1424, 091091 136136 185187 241245 103105 135141 091093 143143 191195 238238 087089 160160 108115 229229 143147 156158 088100 140140 194194 250252 163173 150158 144144 081083 124124 179183 142150 260262 140140 127129 155155 091095 146148 184192 106110 170170 089089 161165 087089 167167 228238 130134 092104 099101 181191 201202 156170 149149
EINPP_1425, 091091 136136 181185 241245 103105 135135 093097 129149 189191 238250 087087 160160 108115 231231 143145 154160 090100 140148 190202 252254 165175 150162 154156 083083 122124 179179 142148 260262 140140 127127 155155 092095 146146 180198 108108 170172 089095 161173 091091 161167 236238 130130 092098 095095 181181 205211 158168 145149
EINPP_1426, 089091 134138 187187 241253 103103 135135 093105 129149 195195 238238 087087 143161 113115 225231 143143 154154 090100 127150 194200 250252 173177 158158 144144 081083 122124 183183 142148 256262 140150 123131 155155 092092 146150 180180 108108 168174 083089 161161 087091 161161 228240 130134 092104 095095 181181 205207 158170 149151
EINPP_1427, 089091 136136 179185 269271 103105 135141 093093 129129 195195 238252 087091 160160 115115 231233 143143 154154 088088 127140 194194 244250 175175 150156 156156 081083 124124 179185 142150 256262 140150 127131 155155 091091 148148 180180 108112 168170 089089 173173 089089 161167 238240 130130 092098 095095 181191 205211 156160 149151
