"","Herd","QWood","QPlains"
"1","AISH","0.972±0.023","0.028±0.023"
"2","CL","0.968±0.028","0.032±0.028"
"3","EINPP","0.027±0.017","0.973±0.017"
"4","EINPW","0.963±0.02","0.037±0.02"
"5","ETH","0.962±0.034","0.038±0.034"
"6","HZ","0.971±0.023","0.029±0.023"
"7","NAH","0.817±0.308","0.183±0.308"
"8","NORD","0.973±0.018","0.027±0.018"
"9","RL","0.461±0.097","0.539±0.097"
"10","WAB","0.174±0.1","0.826±0.1"
"11","WBNPGR","0.625±0.09","0.375±0.09"
"12","WBNPHC","0.65±0.101","0.35±0.101"
"13","WBNPLB","0.75±0.074","0.25±0.074"
"14","WBNPNY","0.712±0.083","0.288±0.083"
"15","WBNPPAD","0.588±0.097","0.412±0.097"
"16","WENT","0.707±0.101","0.293±0.101"
