"Herd","Observed_Diff","P_Value","adj_p_value"
"HZ",-0.0777810398803245,0.001,0.0026
"RL",-0.0821475423470044,0.001,0.0026
"WAB",-0.108150315138496,0.001,0.0026
"WBNPGR",-0.0281943800509219,0.018,0.0234
"WBNPPAD",0.0075093665578212,0.794,0.860166666666667
"WBNPNY",-0.0468249565283918,0.007,0.0101111111111111
"WBNPLB",-0.0450637234968698,0.003,0.00557142857142857
"WBNPHC",-0.0118210496236617,0.058,0.0685454545454545
"EINPW",-0.0841056349925484,0.001,0.0026
"MBS",-0.0275747397329054,0.001,0.0026
"WENT",-0.0956202165962383,0.003,0.00557142857142857
"WBNPC2",0.00604021868301929,0.968,0.968
"WBNPC1",-0.027005540628515,0.006,0.00975
